zongjia,quwei,mianji,shi,ting,wei,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,count_gaoxiao,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,count_xiuxian
1500,2,80,2,2,1,2,3,1,207,664,1,849,1,0,1,274,3,274,3,0
1800,2,46,1,1,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
999,2,25,1,0,1,2,3,3,78,1027,0,1167,0,0,0,236,2,236,2,0
1000,2,35,1,1,1,2,3,3,15,89,4,574,3,5,1,238,5,181,5,1
3300,2,100,2,2,1,2,3,3,137,701,5,175,3,2,3,191,9,335,5,1
1600,2,120,3,2,1,2,2,2,55,531,5,733,4,4,5,373,7,38,8,1
2500,2,95,2,2,1,2,3,3,185,164,4,644,2,5,0,437,4,335,3,0
1350,2,98,2,2,1,1,2,1,213,451,1,640,1,0,0,226,2,347,4,0
1700,2,88,3,2,1,2,3,1,653,1863,0,416,1,0,0,714,2,807,2,0
1600,2,85,2,2,1,2,3,2,327,1152,0,1183,0,0,1,343,2,763,1,0
2000,2,127,3,2,2,2,3,3,653,1863,0,416,1,0,0,714,2,807,2,0
2000,2,85,2,2,1,2,3,2,448,1509,0,1812,0,0,0,829,1,2131,0,0
2100,2,108,3,2,1,2,3,1,653,1863,0,416,1,0,0,714,2,807,2,0
1400,2,72,2,2,1,2,3,1,760,1393,0,1772,0,0,1,909,0,1004,0,0
1700,2,36,1,1,1,2,2,1,327,1152,0,1183,0,0,1,343,2,763,1,0
1600,2,93,3,2,1,2,2,1,318,1374,0,1424,0,0,1,560,1,985,0,0
2000,2,130,3,2,2,2,3,2,653,1863,0,416,1,0,0,714,2,807,2,0
800,2,31,1,0,1,2,3,1,653,1863,0,416,1,0,0,714,2,807,2,0
1600,2,85,2,2,1,2,3,2,207,664,1,849,1,0,1,274,3,274,3,0
650,2,18,1,0,1,2,3,3,318,1374,0,1424,0,0,1,560,1,985,0,0
2000,2,84,2,2,1,2,3,3,448,1509,0,1812,0,0,0,829,1,2131,0,0
1800,2,80,2,2,1,2,4,2,653,1863,0,416,1,0,0,714,2,807,2,0
1500,2,75,2,1,1,2,2,1,178,1773,0,1614,0,0,1,798,1,1223,0,0
1800,2,100,3,2,1,2,3,1,653,1863,0,416,1,0,0,714,2,807,2,0
1200,2,55,2,1,1,2,2,3,318,1374,0,1424,0,0,1,560,1,985,0,0
1600,2,88,3,2,1,2,3,1,760,1393,0,1772,0,0,1,909,0,1004,0,0
1999,2,95,2,2,1,2,3,2,448,1509,0,1812,0,0,0,829,1,2131,0,0
2000,2,120,3,2,1,2,3,3,448,1509,0,1812,0,0,0,829,1,2131,0,0
2100,2,108,3,2,1,2,3,1,653,1863,0,416,1,0,0,714,2,807,2,0
1600,2,108,3,2,2,2,3,1,478,1131,0,1317,0,0,1,476,2,742,1,0
1800,2,100,3,2,1,2,3,2,653,1863,0,416,1,0,0,714,2,807,2,0
2200,2,150,6,2,2,2,3,1,760,1393,0,1772,0,0,1,909,0,1004,0,0
750,2,45,1,1,1,2,2,2,227,490,2,266,1,0,0,738,3,183,3,0
800,2,120,1,0,1,2,3,2,51,190,4,150,4,0,2,399,15,513,7,1
1200,2,25,1,1,1,1,1,1,153,621,2,901,0,1,5,320,5,341,8,1
3000,2,42,1,1,1,2,3,1,180,217,2,391,1,1,4,337,5,45,6,1
700,2,60,2,1,1,2,2,1,265,464,3,233,3,1,1,141,8,502,5,1
2600,2,112,3,2,2,2,3,2,169,1008,0,1039,0,0,0,246,3,378,3,0
1200,2,36,1,1,1,2,3,2,78,1027,0,1167,0,0,0,236,2,236,2,0
1300,2,81,3,1,1,2,1,3,319,249,3,331,2,4,5,692,7,428,6,1
1200,2,80,2,1,1,2,2,3,309,573,2,623,1,1,4,545,5,410,6,1
1800,2,115,3,2,1,2,2,2,90,641,5,621,3,4,5,484,7,147,8,1
500,2,16,1,1,1,2,2,1,309,573,2,623,1,1,4,545,5,410,6,1
2200,2,120,3,2,1,2,3,2,140,311,3,98,4,1,1,319,10,691,6,1
1000,2,68,2,1,1,2,2,1,309,573,2,623,1,1,4,545,5,410,6,1
2600,2,90,2,2,1,2,3,1,369,1026,0,1612,0,0,0,445,3,469,4,1
1400,2,70,2,1,1,2,2,3,309,573,2,623,1,1,4,545,5,410,6,1
2800,2,95,2,2,1,2,3,3,137,701,5,175,3,2,3,191,9,335,5,1
1400,2,78,2,2,1,2,3,2,225,257,3,405,3,4,1,599,5,463,4,0
1499,2,38,1,1,1,2,3,1,78,1027,0,1167,0,0,0,236,2,236,2,0
